079D-0000-0351-17E2	user0008335
0CE8-0000-035D-1CD8	user0008392
0CEE-0000-034C-A811	user0008393
0D04-0000-0361-914D	user0008394
0D18-0000-0331-2A18	user0008395
0D1F-0000-035C-611C	user0008396
0D48-0000-0363-8CC0	user0008397
0DA8-0000-0368-A724	user0008398
0DB6-0000-033F-429F	user0008399
0DCA-0000-0312-AD9B	user0008400
0DDC-0000-0319-C3A1	user0008401
0DF3-0000-032D-6360	user0008402
0E23-0000-0345-3E05	user0008403
0E83-0000-0330-0ECA	user0008404
0EC4-0000-035B-91F7	user0008405
0F17-0000-0342-5DD9	user0008406
0F1E-0000-0340-2001	user0008407
0F6B-0000-034D-DB6E	user0008408
0FE8-0000-02FF-B716	user0008409
0FEE-0000-0364-19AC	user0008410
103B-0000-033E-70A4	user0008411
1041-0000-0365-F94D	user0008412
1045-0000-033F-49BA	user0008413
1050-0000-0331-FABB	user0008414
105C-0000-0338-778E	user0008415
1082-0000-0343-B78A	user0008416
10EF-0000-0341-BCCE	user0008417
1110-0000-030B-D094	user0008418
1171-0000-0303-C4D9	user0008419
11FE-0000-0316-8BEC	user0008420
120B-0000-0324-F667	user0008421
1242-0000-034F-2953	user0008422
1275-0000-0357-157B	user0008423
127B-0000-033A-0CA5	user0008424
1283-0000-0362-2CB6	user0008425
1290-0000-032B-AD32	user0008426
12B9-0000-0344-156E	user0008427
12DB-0000-0317-5E04	user0008428
12F5-0000-034A-0706	user0008429
1305-0000-0325-7780	user0008430
1305-0000-0357-8E36	user0008431
1308-0000-0359-B160	user0008432
1323-0000-033E-8A6F	user0008433
1330-0000-0357-08E9	user0008434
133B-0000-0301-C0F6	user0008435
1383-0000-0345-3914	user0008436
1388-0000-0324-D798	user0008437
13B8-0000-0326-4696	user0008438
13D2-0000-0347-B5F1	user0008439
13E8-0000-035C-ACEA	user0008440
13F3-0000-0359-B14C	user0008441
1418-0000-032E-D9CF	user0008442
143C-0000-0314-6BD7	user0008443
1441-0000-0344-7E8B	user0008444
1457-0000-031E-137C	user0008445
1462-0000-0344-E3EF	user0008446
14C4-0000-033A-0B30	user0008447
14CF-0000-034D-87D5	user0008448
150F-0000-0339-F7A8	user0008449
1519-0000-0312-530A	user0008450
152D-0000-0318-6D01	user0008451
1535-0000-0343-549A	user0008452
154C-0000-0352-F3F0	user0008453
154F-0000-033F-B3D6	user0008454
1550-0000-0322-81B7	user0008455
1560-0000-033A-C5DA	user0008456
1582-0000-0351-C698	user0008457
15A4-0000-0352-30D9	user0008458
15B9-0000-0361-8E07	user0008459
15BC-0000-0348-7D5F	user0008460
15C0-0000-0339-C346	user0008461
1602-0000-0331-C155	user0008462
1614-0000-032A-4AC3	user0008463
1620-0000-0369-A95F	user0008464
162B-0000-034A-9031	user0008465
162C-0000-0301-738D	user0008466
165A-0000-0306-E577	user0008467
165B-0000-0313-97E8	user0008468
167F-0000-030F-51D9	user0008469
1685-0000-0360-353D	user0008470
169B-0000-0315-062F	user0008471
16B2-0000-030E-3F98	user0008472
16C8-0000-033D-846C	user0008473
16CB-0000-0346-7EB2	user0008474
16F1-0000-0356-368B	user0008475
170F-0000-0318-603F	user0008476
170F-0000-033C-8A05	user0008477
1714-0000-0348-106D	user0008478
173C-0000-0320-D5E9	user0008479
177A-0000-0332-B59F	user0008480
1782-0000-02FF-8CB7	user0008481
17BB-0000-034A-6988	user0008482
17E8-0000-0358-A4CE	user0008483
17FB-0000-0310-B194	user0008484
1818-0000-0334-1684	user0008485
181A-0000-033F-45E6	user0008486
183E-0000-033A-D6DA	user0008487
183F-0000-032B-14A5	user0008488
1862-0000-034F-F099	user0008489
1878-0000-0364-A9CA	user0008490
189B-0000-035D-8475	user0008491
189D-0000-0360-2CEB	user0008492
18A2-0000-033D-736A	user0008493
18B4-0000-0339-5AE1	user0008494
18BF-0000-0310-9651	user0008495
18DA-0000-0348-B159	user0008496
18F5-0000-0364-3963	user0008497
18F7-0000-030E-462B	user0008498
18FC-0000-0336-401E	user0008499
1976-0000-0347-5068	user0008500
1993-0000-0315-841A	user0008501
1999-0000-0335-302D	user0008502
199C-0000-0329-C238	user0008503
19AD-0000-0354-F2F9	user0008504
19E6-0000-032F-6011	user0008505
1A1F-0000-0351-CA29	user0008506
1A28-0000-0305-8885	user0008507
1A34-0000-031F-B26C	user0008508
1A54-0000-0363-6671	user0008509
1A75-0000-0357-E033	user0008510
1A8F-0000-0334-145F	user0008511
1A90-0000-0339-BAD5	user0008512
1AA2-0000-033F-A493	user0008513
1AB2-0000-030F-CF76	user0008514
1AD4-0000-0314-9476	user0008515
1AD9-0000-0346-B1F5	user0008516
1AEA-0000-0367-B7FC	user0008517
1B13-0000-035B-3755	user0008518
1B26-0000-0310-75A5	user0008519
1B3A-0000-035B-044A	user0008520
1B3F-0000-032B-3D49	user0008521
1B73-0000-031A-763E	user0008522
1B7E-0000-0361-8EBD	user0008523
1B80-0000-030A-7D07	user0008524
1BC7-0000-033E-8CD1	user0008525
1BD1-0000-033F-B00C	user0008526
1C00-0000-0362-499C	user0008527
1C05-0000-032E-CF86	user0008528
1C42-0000-0346-F533	user0008529
1C54-0000-030A-7339	user0008530
1C59-0000-034F-1C71	user0008531
1C69-0000-035A-0E0E	user0008532
1C7B-0000-0353-D47D	user0008533
1C7F-0000-0368-9A27	user0008534
1C82-0000-035C-AEE5	user0008535
1C87-0000-030B-5198	user0008536
1C8C-0000-0321-DCA8	user0008537
1C8D-0000-0342-E711	user0008538
1C92-0000-02FF-0A54	user0008539
1C95-0000-034D-8212	user0008540
1C96-0000-030E-B45F	user0008541
1C9B-0000-030C-21DA	user0008542
1CAD-0000-0355-9649	user0008543
1CB2-0000-0345-1FC2	user0008544
1CE3-0000-0307-7779	user0008545
1D14-0000-0357-227B	user0008546
1D7C-0000-0304-3E6F	user0008547
1D7E-0000-034A-F747	user0008548
1D97-0000-034B-9E08	user0008549
1DE2-0000-034B-CE23	user0008550
1DF9-0000-0338-AC98	user0008551
1E33-0000-033B-4CA9	user0008552
1E89-0000-031E-1362	user0008553
1E8D-0000-0348-B91C	user0008554
1EC9-0000-0310-0A63	user0008555
1ED4-0000-035A-BC99	user0008556
1F1A-0000-0344-7991	user0008557
1F26-0000-0323-CDDA	user0008558
1F51-0000-0327-C09F	user0008559
1F55-0000-0327-7DEB	user0008560
1F5C-0000-0356-5076	user0008561
1F8A-0000-0351-53E0	user0008562
1F99-0000-0359-6BB5	user0008563
1FA7-0000-0367-F3BC	user0008564
1FB4-0000-0339-E34F	user0008565
1FD4-0000-030A-5B35	user0008566
1FF6-0000-0305-782C	user0008567
2016-0000-0343-B059	user0008568
2025-0000-0300-3E55	user0008569
2029-0000-0311-1A26	user0008570
2055-0000-035D-8B3F	user0008571
208F-0000-0327-E5B6	user0008572
2093-0000-0333-AB8D	user0008573
2094-0000-0305-EBF9	user0008574
2097-0000-0331-2A21	user0008575
20A6-0000-0331-AF30	user0008576
20BD-0000-0305-0BD8	user0008577
20D0-0000-0351-ED13	user0008578
20D1-0000-030F-BD60	user0008579
20D6-0000-033A-02C7	user0008580
20F6-0000-0306-BB27	user0008581
2110-0000-0324-D79F	user0008582
211F-0000-0337-8FB0	user0008583
2134-0000-030D-3057	user0008584
2142-0000-032B-A984	user0008585
2169-0000-0327-3678	user0008586
217C-0000-0308-E7C4	user0008587
217D-0000-0332-318D	user0008588
217D-0000-0351-4EC8	user0008589
218D-0000-033E-8A94	user0008590
21A3-0000-0365-88A8	user0008591
21BC-0000-0331-1B6A	user0008592
21C7-0000-0315-0DA9	user0008593
220F-0000-0317-BB3B	user0008594
2230-0000-0359-C751	user0008595
2239-0000-033C-3C55	user0008596
223D-0000-034A-C620	user0008597
2242-0000-0343-C4B7	user0008598
224B-0000-0324-9FBB	user0008599
2258-0000-0301-0B14	user0008600
225D-0000-036B-4C2D	user0008601
229E-0000-031C-CB52	user0008602
22BF-0000-030A-85C0	user0008603
22EC-0000-0359-C339	user0008604
22F3-0000-036E-11DA	user0008605
233E-0000-030C-2F19	user0008606
2369-0000-0320-E8B8	user0008607
2389-0000-0329-81E4	user0008608
2397-0000-034F-A427	user0008609
23A5-0000-0301-0B1B	user0008610
23AA-0000-034C-7255	user0008611
23AC-0000-0333-9A2C	user0008612
23B1-0000-0340-26A2	user0008613
23C4-0000-0342-D9B2	user0008614
2402-0000-0315-B733	user0008615
2441-0000-0361-8E86	user0008616
244C-0000-035D-0F1E	user0008617
2454-0000-0347-C679	user0008618
245C-0000-032D-4A05	user0008619
247B-0000-0337-8009	user0008620
247B-0000-0360-6DF8	user0008621
2499-0000-0345-BC80	user0008622
24A1-0000-0305-6948	user0008623
24D0-0000-0366-1BA8	user0008624
24F5-0000-035E-8095	user0008625
2508-0000-0324-F527	user0008626
2523-0000-0360-15F1	user0008627
2526-0000-0313-1125	user0008628
2540-0000-0311-37B1	user0008629
2583-0000-030D-7C0A	user0008630
258A-0000-0322-6D7D	user0008631
258B-0000-0327-E604	user0008632
2590-0000-0362-AD89	user0008633
25BC-0000-0313-FD98	user0008634
25CB-0000-0330-1EEA	user0008635
25E1-0000-030C-25D4	user0008636
2605-0000-035B-7411	user0008637
261C-0000-0353-1142	user0008638
261E-0000-0349-8280	user0008639
2627-0000-031F-AA97	user0008640
262C-0000-033A-D2BA	user0008641
2655-0000-033E-64D9	user0008642
2665-0000-0359-C649	user0008643
2672-0000-035B-003A	user0008644
2685-0000-034C-0F0F	user0008645
2699-0000-0305-12E2	user0008646
26B3-0000-0326-96DC	user0008647
26B6-0000-0319-B2AA	user0008648
26D8-0000-0331-21CB	user0008649
26D9-0000-032F-CC60	user0008650
2718-0000-0330-CD13	user0008651
272B-0000-030C-7C11	user0008652
276C-0000-035B-3587	user0008653
2798-0000-035A-4545	user0008654
27A5-0000-033A-B03E	user0008655
27B1-0000-0342-2041	user0008656
27C2-0000-035C-E5DB	user0008657
282F-0000-031E-C567	user0008658
283A-0000-0320-6258	user0008659
2879-0000-0334-AC1E	user0008660
2884-0000-0311-BC97	user0008661
2887-0000-0347-5311	user0008662
2890-0000-032C-D344	user0008663
289F-0000-0328-FE29	user0008664
28C5-0000-036B-B87C	user0008665
28C8-0000-035D-8CCD	user0008666
28CA-0000-0338-D798	user0008667
28CC-0000-035D-FD92	user0008668
28D0-0000-0328-43EF	user0008669
28E1-0000-0363-FAD1	user0008670
28E2-0000-0339-BCC2	user0008671
28F9-0000-0365-B49F	user0008672
292A-0000-0352-1626	user0008673
297A-0000-0357-7B07	user0008674
2991-0000-032C-93B1	user0008675
29A2-0000-035A-1CA8	user0008676
29A6-0000-0368-4CE1	user0008677
2A0E-0000-0321-2F41	user0008678
2A13-0000-0310-6CCF	user0008679
2A2C-0000-0363-B6A2	user0008680
2A44-0000-035A-A50A	user0008681
2A4F-0000-0302-7F7E	user0008682
2A74-0000-0314-163E	user0008683
2A93-0000-0314-710D	user0008684
2AA8-0000-0333-FC02	user0008685
2AF3-0000-0342-7E8E	user0008686
2B00-0000-033A-0EFC	user0008687
2B16-0000-0357-98D3	user0008688
2B43-0000-0351-E2BE	user0008689
2B4C-0000-0307-BB57	user0008690
2B55-0000-0306-810D	user0008691
2B57-0000-0308-38F8	user0008692
2B65-0000-02FF-BC1E	user0008693
2B76-0000-031F-9DD0	user0008694
2B80-0000-0330-719A	user0008695
2BAA-0000-0336-4771	user0008696
2BD0-0000-0324-ED09	user0008697
2BD1-0000-0316-B12B	user0008698
2BDA-0000-0300-267A	user0008699
2BEB-0000-034B-4520	user0008700
2BFB-0000-0306-95D2	user0008701
2C14-0000-0311-99E5	user0008702
2C18-0000-030D-86B0	user0008703
2C1D-0000-0358-B38D	user0008704
2C24-0000-034A-D2F1	user0008705
2C2C-0000-0335-D87A	user0008706
2C6A-0000-033E-62F5	user0008707
2C6F-0000-0356-F862	user0008708
2C80-0000-0302-B127	user0008709
2C8D-0000-0324-23CB	user0008710
2C93-0000-032F-447F	user0008711
2C9A-0000-0328-FFDF	user0008712
2C9E-0000-030E-E5E3	user0008713
2CC7-0000-0335-D401	user0008714
2CC9-0000-0334-541B	user0008715
2CCD-0000-032D-1CD0	user0008716
2CD7-0000-035D-8C4D	user0008717
2CDF-0000-032E-3616	user0008718
2CDF-0000-0356-E1CE	user0008719
2CFA-0000-0343-DC34	user0008720
2D07-0000-0365-F9B2	user0008721
2D15-0000-0349-81D9	user0008722
2D33-0000-0308-F41D	user0008723
2D4B-0000-0324-4566	user0008724
2D8E-0000-030D-FE0B	user0008725
2D96-0000-0339-E698	user0008726
2DBF-0000-0301-EB09	user0008727
2DC5-0000-0329-1C9C	user0008728
2DD8-0000-0331-76AC	user0008729
2DDB-0000-0305-61C6	user0008730
2E05-0000-0359-5962	user0008731
2E07-0000-0309-0E91	user0008732
2E07-0000-034B-D53A	user0008733
2E26-0000-0321-C1F0	user0008734
2E6C-0000-035B-7941	user0008735
2EBB-0000-0311-B534	user0008736
2EDA-0000-0311-059B	user0008737
2EE8-0000-0352-1756	user0008738
2EE9-0000-0302-C32B	user0008739
2F00-0000-0309-B786	user0008740
2F14-0000-0323-7FC4	user0008741
2F1F-0000-0316-1A21	user0008742
2F3B-0000-034A-71EC	user0008743
2F41-0000-0361-6D32	user0008744
2F7C-0000-0336-EA62	user0008745
2F8F-0000-0348-0690	user0008746
2F91-0000-0347-408C	user0008747
2F9A-0000-0346-D854	user0008748
2FF2-0000-034B-AA46	user0008749
3038-0000-0341-69E4	user0008750
307F-0000-0349-688C	user0008751
3089-0000-0357-71E7	user0008752
308A-0000-033D-6101	user0008753
30C0-0000-0365-1A75	user0008754
30C6-0000-0312-529D	user0008755
30E1-0000-0339-E259	user0008756
30E1-0000-035B-EA6A	user0008757
3137-0000-0330-25B5	user0008758
316E-0000-0343-7E62	user0008759
3174-0000-033E-A428	user0008760
318C-0000-0300-1CBD	user0008761
318F-0000-0331-B702	user0008762
3195-0000-0342-2007	user0008763
31B2-0000-032D-53E5	user0008764
31E1-0000-0308-F0B3	user0008765
3277-0000-0338-C138	user0008766
3278-0000-0327-AFCF	user0008767
327B-0000-032E-205E	user0008768
32B4-0000-034D-0D63	user0008769
32F3-0000-032D-9E06	user0008770
32F8-0000-034C-FBEE	user0008771
32FB-0000-0312-558F	user0008772
335B-0000-033E-0633	user0008773
3365-0000-032D-5C03	user0008774
3380-0000-035A-1CAC	user0008775
3386-0000-0356-FC3E	user0008776
33B3-0000-0308-A8A8	user0008777
3444-0000-0367-61FE	user0008778
3447-0000-0345-1A59	user0008779
344C-0000-031B-E2D1	user0008780
344C-0000-032A-2BF6	user0008781
345E-0000-0327-1EF4	user0008782
3461-0000-0347-94B4	user0008783
3467-0000-0326-DB6C	user0008784
34A1-0000-0328-8CBB	user0008785
34ED-0000-0323-33C2	user0008786
3506-0000-0336-EDB5	user0008787
3510-0000-0347-949D	user0008788
353F-0000-0311-2646	user0008789
3541-0000-0351-E48A	user0008790
3576-0000-032C-DE8B	user0008791
357C-0000-0321-A85A	user0008792
35BE-0000-030A-8A95	user0008793
35C2-0000-0335-B715	user0008794
35F1-0000-0332-22DB	user0008795
35F9-0000-033A-D0F1	user0008796
35FE-0000-0323-E15C	user0008797
35FE-0000-0359-117B	user0008798
3608-0000-0320-19DD	user0008799
3612-0000-035A-B59B	user0008800
3638-0000-0331-7376	user0008801
366C-0000-0341-A234	user0008802
3671-0000-0338-4176	user0008803
3672-0000-033F-0CD5	user0008804
3695-0000-0338-6A8F	user0008805
3697-0000-0360-B509	user0008806
36AB-0000-034D-7F08	user0008807
36BB-0000-0343-1064	user0008808
36CE-0000-0327-C964	user0008809
36F6-0000-0331-20C5	user0008810
3700-0000-0331-7641	user0008811
370A-0000-0345-106A	user0008812
3716-0000-0325-77E0	user0008813
3732-0000-0307-FC94	user0008814
3733-0000-0347-4DB3	user0008815
374A-0000-0312-4816	user0008816
374D-0000-0308-18F0	user0008817
3762-0000-0336-51A7	user0008818
3778-0000-0311-E5D0	user0008819
377D-0000-0337-1B80	user0008820
378A-0000-0332-04B0	user0008821
37B3-0000-0368-D5A8	user0008822
3818-0000-0357-FE59	user0008823
381A-0000-035F-5308	user0008824
3877-0000-0344-8722	user0008825
388C-0000-032F-5075	user0008826
38AE-0000-036A-295D	user0008827
38D5-0000-035F-5B96	user0008828
38F8-0000-0347-55DE	user0008829
390A-0000-0316-7976	user0008830
390C-0000-0334-8F0A	user0008831
391D-0000-0345-2811	user0008832
3944-0000-0302-97FD	user0008833
3971-0000-035E-505E	user0008834
3973-0000-0310-6CDB	user0008835
3990-0000-0335-A0EC	user0008836
399D-0000-0321-4204	user0008837
39D3-0000-033A-D5DC	user0008838
39E2-0000-0358-C138	user0008839
3A35-0000-032E-D98F	user0008840
3A3F-0000-034E-46B3	user0008841
3A5F-0000-032E-2407	user0008842
3A6D-0000-0354-F24F	user0008843
3AD2-0000-031B-0B3C	user0008844
3AEB-0000-0302-ACC3	user0008845
3AF9-0000-035B-7BE0	user0008846
3AFB-0000-0310-2F9B	user0008847
3B15-0000-0349-1557	user0008848
3B46-0000-032F-4D82	user0008849
3B5E-0000-0353-0D11	user0008850
3B65-0000-032F-C126	user0008851
3B67-0000-035A-77ED	user0008852
3B90-0000-0342-1F9B	user0008853
3B96-0000-033B-6297	user0008854
3B9F-0000-032E-8C94	user0008855
3BAA-0000-0361-8689	user0008856
3BB3-0000-030C-7F3D	user0008857
3BBB-0000-0358-4A84	user0008858
3BC6-0000-035E-4998	user0008859
3BD7-0000-0365-0A2A	user0008860
3C0E-0000-0349-2D62	user0008861
3C0E-0000-034B-714E	user0008862
3C3E-0000-034C-90CC	user0008863
3C45-0000-0366-A466	user0008864
3C56-0000-030A-603A	user0008865
3C63-0000-0312-7B45	user0008866
3C6C-0000-0322-81AF	user0008867
3C85-0000-031E-AE5E	user0008868
3C95-0000-034C-82C3	user0008869
3CC1-0000-036A-7F75	user0008870
3CD0-0000-035C-B2F2	user0008871
3CEF-0000-035B-76D6	user0008872
3CFB-0000-0349-0495	user0008873
3D06-0000-036B-E2CE	user0008874
3D24-0000-0342-1BFB	user0008875
3D31-0000-030C-24E0	user0008876
3D41-0000-0339-C69E	user0008877
3D46-0000-030A-9D8D	user0008878
3D67-0000-0336-E8EF	user0008879
3D6E-0000-0327-8231	user0008880
3D86-0000-0355-D81B	user0008881
3D9B-0000-0342-505D	user0008882
3DCB-0000-032E-CEA5	user0008883
3E20-0000-0362-1965	user0008884
3E3A-0000-033D-01CD	user0008885
3E3D-0000-0356-538A	user0008886
3E8F-0000-0344-DF78	user0008887
3E9C-0000-035B-A680	user0008888
3EB6-0000-0333-3F1E	user0008889
3EDB-0000-0341-EED9	user0008890
3EDF-0000-0368-23C6	user0008891
3F15-0000-0306-D6C0	user0008892
3F1F-0000-0348-B811	user0008893
3F26-0000-032D-27A5	user0008894
3F55-0000-0301-0B23	user0008895
3F63-0000-031C-95EF	user0008896
3F9F-0000-0349-9376	user0008897
3FC5-0000-0362-0118	user0008898
3FD6-0000-035F-B8E1	user0008899
3FFC-0000-0318-9DD9	user0008900
4003-0000-033D-0442	user0008901
4018-0000-0332-F4E3	user0008902
401F-0000-0335-22EA	user0008903
4023-0000-033F-55B5	user0008904
403C-0000-0339-7A34	user0008905
4043-0000-0344-575F	user0008906
4044-0000-035F-F6EF	user0008907
4064-0000-0347-BE6A	user0008908
4072-0000-0310-F45B	user0008909
407C-0000-0342-640B	user0008910
4089-0000-034D-84FD	user0008911
4092-0000-0334-07BB	user0008912
4096-0000-0302-AD57	user0008913
40A9-0000-0338-6D9C	user0008914
40B9-0000-035A-3499	user0008915
40C0-0000-035F-15E8	user0008916
40D5-0000-0354-E82D	user0008917
40DD-0000-034D-1809	user0008918
40E9-0000-031A-9F9D	user0008919
40F6-0000-0346-477B	user0008920
410B-0000-0339-715D	user0008921
417D-0000-0367-9142	user0008922
41B1-0000-0369-9D39	user0008923
41B4-0000-032F-5C4E	user0008924
41C5-0000-035D-E170	user0008925
41FA-0000-031D-87F5	user0008926
4206-0000-0307-6912	user0008927
4218-0000-0328-965D	user0008928
4240-0000-035A-4951	user0008929
4272-0000-033E-668D	user0008930
4278-0000-0345-B7E7	user0008931
428D-0000-0337-4101	user0008932
4293-0000-0328-F82D	user0008933
42CA-0000-0354-E74E	user0008934
42D1-0000-034F-DE22	user0008935
42D8-0000-0319-91EA	user0008936
4309-0000-030D-E4AC	user0008937
4320-0000-0354-9624	user0008938
4330-0000-0360-2322	user0008939
4352-0000-0331-410E	user0008940
436F-0000-033C-E9B2	user0008941
4370-0000-0351-6EDE	user0008942
4375-0000-0305-0BFE	user0008943
4392-0000-030A-8CF8	user0008944
43A6-0000-033C-A919	user0008945
43C3-0000-0331-FDDD	user0008946
43CD-0000-035C-6C53	user0008947
43FC-0000-032C-914A	user0008948
4416-0000-034C-329A	user0008949
442A-0000-0346-9740	user0008950
4439-0000-0369-27A3	user0008951
447B-0000-033A-BF95	user0008952
447C-0000-0364-9FDB	user0008953
44D1-0000-0310-41D1	user0008954
44DD-0000-0363-9091	user0008955
44E2-0000-0358-BB1F	user0008956
44E5-0000-034C-9F21	user0008957
44F5-0000-033D-46BC	user0008958
44FB-0000-0338-7236	user0008959
44FB-0000-0347-360D	user0008960
4506-0000-035A-B4B1	user0008961
4508-0000-0306-142D	user0008962
450A-0000-0308-95C5	user0008963
453F-0000-035D-1977	user0008964
45CF-0000-0323-E47D	user0008965
45E1-0000-0306-9A40	user0008966
4650-0000-034A-803A	user0008967
4665-0000-033E-849E	user0008968
4689-0000-034F-2537	user0008969
469A-0000-0348-BAB1	user0008970
46D0-0000-030A-037F	user0008971
46D8-0000-035D-3F5A	user0008972
46E7-0000-0332-02E6	user0008973
46EA-0000-035A-0D7F	user0008974
46F4-0000-0333-17CF	user0008975
46FD-0000-0307-70F7	user0008976
472C-0000-0367-EE37	user0008977
4746-0000-034D-25A4	user0008978
4763-0000-0313-4524	user0008979
4779-0000-0331-3D12	user0008980
4788-0000-0362-B5EC	user0008981
4797-0000-033C-B01B	user0008982
47B3-0000-02FF-9405	user0008983
47B7-0000-0360-2F8C	user0008984
47D5-0000-032F-9E63	user0008985
47D8-0000-0304-4063	user0008986
47EF-0000-0344-8F56	user0008987
47EF-0000-0368-14B2	user0008988
4823-0000-0337-C9FD	user0008989
4836-0000-0363-CD09	user0008990
4862-0000-0361-8C64	user0008991
4863-0000-0356-5734	user0008992
486A-0000-0302-B795	user0008993
487F-0000-0360-9DDA	user0008994
48B1-0000-030A-BF97	user0008995
48CB-0000-035B-7CBE	user0008996
48D5-0000-0351-C886	user0008997
48FF-0000-0314-8543	user0008998
498D-0000-030F-C990	user0008999
49C6-0000-0358-4338	user0009000
49D4-0000-0365-E272	user0009001
49EA-0000-0324-964F	user0009002
49F0-0000-0331-AB21	user0009003
4A00-0000-0307-B39A	user0009004
4A01-0000-0308-A0E1	user0009005
4A3D-0000-031A-438C	user0009006
4A42-0000-0357-98A7	user0009007
4A4A-0000-032B-9F48	user0009008
4A63-0000-0305-0572	user0009009
4A65-0000-0361-FD36	user0009010
4A7C-0000-031C-5E69	user0009011
4A85-0000-0343-B49B	user0009012
4ADA-0000-0305-7F67	user0009013
4B20-0000-0301-6341	user0009014
4B2F-0000-0331-388B	user0009015
4B4A-0000-035B-F027	user0009016
4B80-0000-032E-3E43	user0009017
4B85-0000-0341-6DF8	user0009018
4B9C-0000-033E-A21D	user0009019
4BBE-0000-0309-BBD5	user0009020
4BDE-0000-02FF-8749	user0009021
4BFE-0000-0344-61F6	user0009022
4C03-0000-033A-40FF	user0009023
4CCE-0000-0352-FBDF	user0009024
4CD2-0000-0335-AADD	user0009025
4CDC-0000-0342-4DF1	user0009026
4D0D-0000-0359-AE75	user0009027
4D12-0000-0333-B9B0	user0009028
4D44-0000-0344-8469	user0009029
4D4A-0000-0349-94D6	user0009030
4D4D-0000-0305-6C48	user0009031
4D5D-0000-0332-42B2	user0009032
4D87-0000-033C-A721	user0009033
4D89-0000-0311-FD05	user0009034
4D8E-0000-031E-F0B3	user0009035
5B33-0000-0328-6B1B	user0009036
4D91-0000-0310-9126	user0009037
4D94-0000-0301-CBBE	user0009038
4DA3-0000-0363-CCDB	user0009039
4DB2-0000-0319-1DCC	user0009040
4DE1-0000-0305-D87C	user0009041
4DF4-0000-0363-00CB	user0009042
4DF7-0000-035D-BC13	user0009043
4E00-0000-034E-64F5	user0009044
4E35-0000-031A-6DD1	user0009045
4E37-0000-0336-231B	user0009046
4E3B-0000-0353-1276	user0009047
4E46-0000-035C-C175	user0009048
4E90-0000-0345-424A	user0009049
4EA8-0000-030F-B74B	user0009050
4ED1-0000-0337-BEB2	user0009051
4F06-0000-031C-76FA	user0009052
4F4B-0000-0339-5AFE	user0009053
4F6C-0000-0339-F444	user0009054
4F6C-0000-0344-E23A	user0009055
4F89-0000-0336-D536	user0009056
4F99-0000-033F-AE1D	user0009057
4FA8-0000-0348-ADF6	user0009058
5013-0000-0337-A91A	user0009059
5022-0000-0328-8BE5	user0009060
502A-0000-0360-193F	user0009061
503D-0000-035D-FA92	user0009062
504B-0000-0350-28C7	user0009063
5054-0000-0357-9CF9	user0009064
5062-0000-0339-B9EA	user0009065
5069-0000-0303-A6A3	user0009066
5073-0000-0337-CD40	user0009067
5090-0000-0313-3A19	user0009068
50AC-0000-0355-63DE	user0009069
50C1-0000-0338-6495	user0009070
50C4-0000-0342-FD70	user0009071
50D3-0000-0305-E666	user0009072
50EF-0000-0320-E562	user0009073
5109-0000-0368-1DB9	user0009074
511B-0000-0334-14A3	user0009075
5136-0000-0351-CE92	user0009076
5152-0000-034C-A86C	user0009077
5168-0000-030C-951E	user0009078
